[Sat Apr 25 13:24:41 2026] [NORMAL] Action: AVANCER | Duree: 3s
[Sat Apr 25 13:24:42 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:24:44 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:24:47 2026] [NORMAL] Action: AVANCER | Duree: 3s
[Sat Apr 25 13:24:49 2026] [NORMAL] Action: GAUCHE | Duree: 2s
[Sat Apr 25 13:24:54 2026] [NORMAL] Action: AVANCER | Duree: 5s
[Sat Apr 25 13:24:55 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:24:57 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:25:02 2026] [URGENT] Action: RECHARGE | Duree: 5s
[Sat Apr 25 13:25:04 2026] [NORMAL] Action: DROITE | Duree: 2s
[Sat Apr 25 13:25:08 2026] [NORMAL] Action: AVANCER | Duree: 4s
[Sat Apr 25 13:25:12 2026] [NORMAL] Action: DROITE | Duree: 4s
[Sat Apr 25 13:25:13 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:25:15 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:25:20 2026] [URGENT] Action: RECHARGE | Duree: 5s
[Sat Apr 25 13:25:21 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:25:23 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:25:24 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:25:26 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:25:29 2026] [NORMAL] Action: DROITE | Duree: 3s
[Sat Apr 25 13:25:30 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:25:32 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:25:37 2026] [URGENT] Action: RECHARGE | Duree: 5s
[Sat Apr 25 13:25:38 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:25:40 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:25:44 2026] [NORMAL] Action: RECULER | Duree: 4s
[Sat Apr 25 13:25:45 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
